text,label,language,confidence_score
"Active pickpocketing at a compound, need backup",Police,amharic,0.77
Someone is having broken leg at a local house,Medical/Hospital,english,0.93
Structure fire: confined space rescue at Summit,Fire Force,english,0.96
Hazardous situation: house fire at the shopping mall,Fire Force,english,0.96
Fire alarm: carbon monoxide alarm at Piazza,Fire Force,afaan_oromo,0.8
"Report of pickpocketing at Central Bank, police dispatched",Police,amharic,0.87
Crime alert: domestic dispute at the Stadium,Police,english,0.9
"Patient with animal bite at the Fire Station, requires hospital transport",Medical/Hospital,english,0.85
Medical emergency: overdose reported at the Stadium,Medical/Hospital,english,0.9
Medical crisis: fainting spell at Adama Market,Medical/Hospital,english,0.88
Medical emergency: chest pain reported at Adama Market,Medical/Hospital,english,0.85
Fire alarm: explosion at a villa,Fire Force,english,0.99
Emergency! choking incident at Kebele 06,Medical/Hospital,english,0.92
Medical crisis: poisoning at the Roundabout,Medical/Hospital,english,0.85
"Report of fight at Piazza, police dispatched",Police,english,0.93
"hit and run at a private residence, immediate police response needed",Police,english,0.95
Police assistance required for drug dealing at Summit,Police,english,0.85
"Patient with seizure at Kazanchis, requires hospital transport",Medical/Hospital,english,0.87
"Report of respiratory distress at Main Road, medical team required",Medical/Hospital,english,0.86
"Critical: industrial fire at the Main Factory, multiple units needed",Fire Force,english,0.9
"balcony fire at Kebele 02, immediate fire response required",Fire Force,english,0.89
"pickpocketing in progress at my Home, police needed",Police,english,0.89
"URGENT: carbon monoxide alarm reported at a private residence, send fire department",Fire Force,english,0.85
"panic attack reported at CMC Condominium, send medical help",Medical/Hospital,english,0.9
"URGENT: gas leak reported at Bole Road, send fire department",Fire Force,english,0.99
Fire response required for smoke investigation at CMC Condominium,Fire Force,english,0.92
Emergency response needed for explosion at the Police Station,Fire Force,english,0.94
Help! theft at my Home,Police,english,0.97
Hazardous situation: structure fire at a compound,Fire Force,english,0.89
"pickpocketing in progress at an Apartment building, police needed",Police,afaan_oromo,0.78
Emergency: break-in occurring at CMC Condominium,Police,afaan_oromo,0.84
Ambulance needed immediately for broken leg at the School,Medical/Hospital,english,0.89
Crime alert: car theft at the Office,Police,english,0.89
Security incident: drug dealing at Central Bank,Police,english,0.85
"drowning incident reported at the University campus, send medical help",Medical/Hospital,amharic,0.92
Hazardous situation: chemical fire at CMC Condominium,Fire Force,english,0.9
Need doctor for animal bite at a private residence immediately,Medical/Hospital,english,0.89
Help! identity theft at the Fire Station,Police,english,0.85
Person suffering from choking incident at a family home,Medical/Hospital,english,0.97
Medical crisis: diabetic emergency at Kebele 06,Medical/Hospital,amharic,0.9
"Active armed robbery at Bole Road, need backup",Police,english,0.99
Just weather report,Other,english,0.98
Medical emergency: hypothermia reported at the Roundabout,Medical/Hospital,english,0.87
Medical emergency: cardiac arrest reported at the Office,Medical/Hospital,english,0.91
Person suffering from drowning incident at the Church,Medical/Hospital,english,0.94
"Person experiencing diabetic emergency at the Hospital gate, need ambulance",Medical/Hospital,english,0.89
Need doctor for heat stroke at a dormitory immediately,Medical/Hospital,english,0.92
Crime alert: trespassing at Bus Terminal,Police,english,0.88
Help! breathing difficulty occurring at CMC Condominium,Medical/Hospital,english,0.85
Law enforcement required for suspicious person at Piazza,Police,english,0.82
Police assistance required for burglary at the Mosque,Police,english,0.86
"Critical: head injury at the Main Factory, need doctor",Medical/Hospital,english,0.98
Need doctor for eye injury at Train Station immediately,Medical/Hospital,english,0.85
Police emergency: missing person at the Church,Police,english,0.89
Emergency! broken leg at the Fire Station,Medical/Hospital,english,0.91
Emergency: missing person occurring at the School,Police,english,0.87
Medical emergency: severe headache reported at Summit,Medical/Hospital,english,0.85
Fire response required for house fire at Kebele 04,Fire Force,english,0.98
"Person experiencing stroke at Bus Terminal, need ambulance",Medical/Hospital,english,0.9
Ambulance needed immediately for fainting spell at CMC Condominium,Medical/Hospital,english,0.85
Law enforcement required for hit and run at Atlas area,Police,afaan_oromo,0.88
"Report of electric shock at the Roundabout, medical team required",Medical/Hospital,english,0.95
"Person experiencing burn injury at Central Bank, need ambulance",Medical/Hospital,english,0.94
Medical crisis: asthma attack at Central Bank,Medical/Hospital,english,0.86
Law enforcement required for hit and run at Main Road,Police,english,0.97
Emergency response needed for basement fire at the Police Station,Fire Force,english,0.93
"Report of wildfire at the Bank, fire trucks needed",Fire Force,english,0.95
Flames visible: hazmat incident at Kebele 06,Fire Force,afaan_oromo,0.85
Fire response required for gas leak at Kebele 06,Fire Force,english,0.97
Emergency: structure fire occurring at a private residence,Fire Force,english,0.97
Emergency: carjacking occurring at the Mosque,Police,english,0.96
Crime alert: pickpocketing at Kebele 04,Police,english,0.9
Emergency! stroke at a villa,Medical/Hospital,english,0.86
Fire response required for wildfire at the Park,Fire Force,english,0.94
Help! attic fire at an Apartment building,Fire Force,english,0.97
Call firefighters: roof fire at the Roundabout,Fire Force,english,0.89
"Report of back injury at Summit, medical team required",Medical/Hospital,english,0.88
Security incident: stolen vehicle at an Apartment building,Police,amharic,0.83
"URGENT: missing person reported at Kebele 08, send officers",Police,english,0.85
"vandalism in progress at a compound, police needed",Police,english,0.82
Law enforcement required for pickpocketing at Atlas area,Police,english,0.84
Structure fire: chimney fire at the Roundabout,Fire Force,english,0.88
Emergency! diabetic emergency at Kebele 08,Medical/Hospital,english,0.89
Person suffering from heart attack at the Police Station,Medical/Hospital,english,0.99
"URGENT: shooting reported at the Bridge, send officers",Police,english,0.9
Medical crisis: overdose at a shared house,Medical/Hospital,english,0.97
"Patient with drowning incident at the Park, requires hospital transport",Medical/Hospital,english,0.92
Call police: theft happening at Gerji right now,Police,english,0.84
"Critical: unconscious person at the Bridge, need doctor",Medical/Hospital,english,0.93
Emergency medical assistance needed for panic attack at Kazanchis,Medical/Hospital,english,0.89
Fire response required for fuel spill at the Roundabout,Fire Force,afaan_oromo,0.84
Law enforcement required for assault at a residential building,Police,english,0.96
"URGENT: stroke at my Home, send paramedics",Medical/Hospital,english,0.86
Crime alert: fight at CMC Condominium,Police,afaan_oromo,0.87
Call firefighters: kitchen fire at Kebele 08,Fire Force,english,0.96
"stolen vehicle at a dormitory, immediate police response needed",Police,english,0.96
"Report of stabbing at the Main Factory, police dispatched",Police,english,0.95
"drug dealing at Main Road, immediate police response needed",Police,english,0.86
Emergency: harassment occurring at the local Pharmacy,Police,english,0.91
Flames visible: gas leak at the Gas Station,Fire Force,english,0.91
Medical emergency: fainting spell reported at Kebele 04,Medical/Hospital,afaan_oromo,0.88
Police needed immediately for shooting at an Apartment building,Police,english,0.98
"URGENT: domestic dispute reported at the Bridge, send officers",Police,english,0.87
"robbery at Mexico Square, immediate police response needed",Police,english,0.91
Hazardous situation: kitchen fire at an Apartment building,Fire Force,english,0.92
Feedback: practice report,Other,english,0.96
Emergency response needed for house fire at the Park,Fire Force,english,0.92
Emergency medical assistance needed for hypothermia at the Bank,Medical/Hospital,english,0.97
"Critical: hazmat incident at a villa, multiple units needed",Fire Force,english,0.87
"Patient with hypothermia at Kebele 02, requires hospital transport",Medical/Hospital,english,0.88
Structure fire: rubbish fire at a family home,Fire Force,english,0.85
Hazardous situation: industrial fire at the construction site,Fire Force,amharic,0.88
Emergency response needed for balcony fire at Train Station,Fire Force,afaan_oromo,0.87
"Witnessed missing person at the Park, send police",Police,english,0.86
"Critical: woman in labor at the School, need doctor",Medical/Hospital,english,0.93
Medical emergency: stroke reported at the Fire Station,Medical/Hospital,afaan_oromo,0.9
Law enforcement required for theft at Gerji,Police,english,0.95
Person suffering from choking incident at a family home,Medical/Hospital,english,0.97
Law enforcement required for suspicious person at a dormitory,Police,english,0.84
Need doctor for broken leg at the School immediately,Medical/Hospital,afaan_oromo,0.8
Medical emergency: chest pain reported at the Stadium,Medical/Hospital,afaan_oromo,0.87
"Critical: carbon monoxide alarm at a shared house, multiple units needed",Fire Force,english,0.85
"Active identity theft at a compound, need backup",Police,amharic,0.77
Emergency! broken leg at a villa,Medical/Hospital,english,0.9
"Active car theft at Mexico Square, need backup",Police,english,0.9
Emergency: vandalism occurring at CMC Condominium,Police,english,0.88
Someone is having diabetic emergency at the Park,Medical/Hospital,english,0.92
Medical crisis: choking incident at a dormitory,Medical/Hospital,english,0.87
Fire response required for transformer fire at the Office,Fire Force,english,0.95
"Witnessed domestic dispute at a family home, send police",Police,english,0.86
Emergency medical assistance needed for panic attack at the Gas Station,Medical/Hospital,english,0.85
Law enforcement required for mugging at Kebele 06,Police,english,0.98
Fire response required for brush fire at Central Bank,Fire Force,english,0.93
"Witnessed home invasion at an Apartment building, send police",Police,english,0.96
"URGENT: heat stroke at an Apartment building, send paramedics",Medical/Hospital,english,0.93
"Witnessed vandalism at the Bridge, send police",Police,afaan_oromo,0.77
Help! chemical fire at Gerji,Fire Force,english,0.89
Security incident: drug dealing at Kebele 02,Police,english,0.89
Help! stabbing at the Office,Police,english,0.96
"Report of roof fire at Summit, fire trucks needed",Fire Force,afaan_oromo,0.9
Help! transformer fire at the Hospital gate,Fire Force,english,0.89
Emergency! electric shock at the Hospital gate,Medical/Hospital,english,0.85
"Report of riot at Adama Market, police dispatched",Police,english,0.95
Smoke reported: wildfire at the construction site,Fire Force,english,0.9
"break-in in progress at my Home, police needed",Police,english,0.89
Someone is having head injury at the Hotel,Medical/Hospital,english,0.89
Help! kidnapping at Central Bank,Police,english,0.92
Flames visible: industrial fire at Kebele 04,Fire Force,amharic,0.92
Security incident: domestic dispute at the Main Factory,Police,amharic,0.82
Smoke reported: roof fire at the Office,Fire Force,afaan_oromo,0.92
"Critical: warehouse fire at Kebele 06, multiple units needed",Fire Force,afaan_oromo,0.88
Emergency medical assistance needed for fainting spell at Kazanchis,Medical/Hospital,english,0.85
"Active fraud at the Hotel, need backup",Police,english,0.9
Emergency medical assistance needed for fainting spell at the Mosque,Medical/Hospital,english,0.9
Police emergency: riot at Train Station,Police,english,0.87
Fire alarm: rubbish fire at Adama Market,Fire Force,english,0.85
Fire alarm: structure fire at Kebele 06,Fire Force,english,0.95
Law enforcement required for stabbing at the Hospital gate,Police,english,0.98
Call firefighters: brush fire at the Roundabout,Fire Force,amharic,0.84
Police assistance required for hit and run at Bus Terminal,Police,english,0.88
Help! stabbing at the University campus,Police,afaan_oromo,0.89
Person suffering from heart attack at Atlas area,Medical/Hospital,english,0.99
Crime alert: identity theft at Main Road,Police,english,0.91
Crime alert: hit and run at the Bridge,Police,english,0.93
Medical crisis: cardiac arrest at the Police Station,Medical/Hospital,english,0.89
Police emergency: shooting at the Restaurant,Police,english,0.93
Police needed immediately for break-in at the Stadium,Police,english,0.96
"Report of transformer fire at Kebele 04, fire trucks needed",Fire Force,english,0.92
Feedback: drill notification,Other,english,0.91
Emergency! back injury at the Restaurant,Medical/Hospital,english,0.87
"Witnessed pickpocketing at a family home, send police",Police,amharic,0.82
Crime alert: armed robbery at a shared house,Police,english,0.99
"Person experiencing fainting spell at the Mosque, need ambulance",Medical/Hospital,english,0.93
Testing: time check,Other,english,0.92
Emergency: gas leak occurring at Adama Market,Fire Force,english,0.98
Police emergency: kidnapping at Bole Road,Police,english,0.88
"stroke reported at CMC Condominium, send medical help",Medical/Hospital,amharic,0.84
"Report of kitchen fire at a residential building, fire trucks needed",Fire Force,english,0.91
Fire alarm: basement fire at Adama Market,Fire Force,afaan_oromo,0.87
"Patient with eye injury at Kebele 02, requires hospital transport",Medical/Hospital,amharic,0.86
Police assistance required for assault at Gerji,Police,english,0.93
"Active identity theft at the Fire Station, need backup",Police,english,0.85
Fire emergency: confined space rescue at the Stadium,Fire Force,english,0.97
Fire alarm: smoke investigation at Kebele 08,Fire Force,english,0.85
"Report of choking incident at Mexico Square, medical team required",Medical/Hospital,english,0.9
"Critical: kitchen fire at the Mosque, multiple units needed",Fire Force,english,0.92
Help! kitchen fire at Adama Market,Fire Force,amharic,0.93
Police needed immediately for domestic dispute at Adama Market,Police,english,0.85
"Report of respiratory distress at Bole Road, medical team required",Medical/Hospital,english,0.96
Fire alarm: kitchen fire at Bole Road,Fire Force,english,0.93
"Critical: gas leak at Bole Road, multiple units needed",Fire Force,english,0.93
Police needed immediately for vandalism at Kebele 08,Police,english,0.9
Question: hello world,Other,english,0.96
Police assistance required for assault at Bole Road,Police,english,0.94
"Report of stroke at the Fire Station, medical team required",Medical/Hospital,english,0.9
Person suffering from severe headache at Piazza,Medical/Hospital,english,0.85
Law enforcement required for burglary at Piazza,Police,english,0.96
Emergency medical assistance needed for electric shock at the Bank,Medical/Hospital,english,0.93
"Person experiencing heat stroke at the University campus, need ambulance",Medical/Hospital,english,0.93
Fire emergency: chemical fire at Bole Road,Fire Force,english,0.93
"back injury reported at Train Station, send medical help",Medical/Hospital,english,0.92
"Report of roof fire at the local Pharmacy, fire trucks needed",Fire Force,amharic,0.93
"Report of brush fire at the Hotel, fire trucks needed",Fire Force,english,0.91
"Active stolen vehicle at a residential building, need backup",Police,english,0.89
"Critical: structure fire at the Mosque, multiple units needed",Fire Force,english,0.92
"URGENT: brush fire reported at the local Pharmacy, send fire department",Fire Force,amharic,0.86
Hazardous situation: transformer fire at the Fire Station,Fire Force,english,0.92
"Hello, wrong number",Other,english,0.99
Medical emergency: hypothermia reported at Train Station,Medical/Hospital,english,0.87
Call firefighters: balcony fire at a local house,Fire Force,english,0.9
Law enforcement required for fraud at my Home,Police,english,0.89
Medical emergency: heat stroke reported at a private residence,Medical/Hospital,english,0.9
Call firefighters: forest fire at Main Road,Fire Force,english,0.9
Medical emergency: chest pain reported at the Office,Medical/Hospital,english,0.97
"Person experiencing choking incident at an Apartment building, need ambulance",Medical/Hospital,english,0.96
Security incident: break-in at the Park,Police,english,0.96
Someone is having diabetic emergency at Main Road,Medical/Hospital,english,0.96
"Report of shooting at Sarbet, police dispatched",Police,english,0.89
Emergency: basement fire occurring at the Hotel,Fire Force,english,0.94
Police needed immediately for home invasion at Atlas area,Police,english,0.96
Help! basement fire at the School,Fire Force,english,0.89
"warehouse fire at the Bridge, immediate fire response required",Fire Force,english,0.96
Flames visible: forest fire at Adama Market,Fire Force,english,0.89
Police needed immediately for stabbing at the Restaurant,Police,english,0.99
Emergency: chemical fire occurring at a shared house,Fire Force,english,0.91
Security incident: drug dealing at Atlas area,Police,english,0.91
Police emergency: assault at Atlas area,Police,english,0.96
Security incident: burglary at the local Pharmacy,Police,english,0.94
Structure fire: smoke investigation at my Home,Fire Force,english,0.85
"Witnessed domestic dispute at Kazanchis, send police",Police,afaan_oromo,0.8
Emergency response needed for confined space rescue at Kazanchis,Fire Force,english,0.96
"URGENT: broken leg at Atlas area, send paramedics",Medical/Hospital,afaan_oromo,0.87
Smoke reported: chemical fire at Kebele 02,Fire Force,english,0.99
Medical crisis: overdose at Train Station,Medical/Hospital,english,0.9
Testing: system test,Other,english,0.98
Call police: break-in happening at the Roundabout right now,Police,english,0.87
Medical crisis: collapsed person at Summit,Medical/Hospital,english,0.88
Testing: test message,Other,english,0.99
"Patient with burn injury at the construction site, requires hospital transport",Medical/Hospital,english,0.91
Police needed immediately for theft at Adama Market,Police,english,0.87
Fire emergency: structure fire at the Gas Station,Fire Force,english,0.99
Police needed immediately for identity theft at a local house,Police,english,0.82
Security incident: home invasion at a residential building,Police,english,0.95
"Active stolen vehicle at Mexico Square, need backup",Police,english,0.9
Emergency response needed for warehouse fire at the Bridge,Fire Force,english,0.99
Hazardous situation: attic fire at Atlas area,Fire Force,english,0.95
Emergency response needed for industrial fire at the School,Fire Force,english,0.92
Fire emergency: warehouse fire at a shared house,Fire Force,english,0.91
Medical crisis: heat stroke at Adama Market,Medical/Hospital,english,0.86
Police needed immediately for burglary at Bus Terminal,Police,amharic,0.83
Help! overdose occurring at a local house,Medical/Hospital,english,0.97
Someone is having burn victim at my Home,Medical/Hospital,english,0.88
"URGENT: kitchen fire reported at Kebele 06, send fire department",Fire Force,english,0.89
Emergency: electrical fire occurring at the Police Station,Fire Force,amharic,0.89
Security incident: vandalism at Gerji,Police,amharic,0.8
Fire alarm: confined space rescue at the construction site,Fire Force,english,0.9
Police needed immediately for fraud at Main Road,Police,english,0.82
"Report of car theft at Sarbet, police dispatched",Police,english,0.92
Help! drowning incident occurring at the local Pharmacy,Medical/Hospital,english,0.93
Emergency medical assistance needed for panic attack at CMC Condominium,Medical/Hospital,english,0.9
Emergency: missing person occurring at Kebele 02,Police,english,0.9
Help! pickpocketing at the Gas Station,Police,amharic,0.83
Help! wildfire at the Gas Station,Fire Force,afaan_oromo,0.93
Help! seizure occurring at the Church,Medical/Hospital,english,0.86
Flames visible: basement fire at the Bank,Fire Force,afaan_oromo,0.89
Smoke reported: confined space rescue at a private residence,Fire Force,english,0.9
Structure fire: structure fire at the Church,Fire Force,english,0.89
Emergency! severe bleeding at Sarbet,Medical/Hospital,english,0.89
Security incident: fight at Summit,Police,english,0.9
Emergency medical assistance needed for animal bite at the Bank,Medical/Hospital,english,0.89
"Witnessed car theft at a family home, send police",Police,english,0.92
"Person experiencing cardiac arrest at a local house, need ambulance",Medical/Hospital,english,0.95
Fire response required for industrial fire at a family home,Fire Force,english,0.99
Medical emergency: fainting spell reported at Mexico Square,Medical/Hospital,english,0.85
"URGENT: asthma attack at the Fire Station, send paramedics",Medical/Hospital,english,0.89
Hazardous situation: balcony fire at the Mosque,Fire Force,english,0.89
Emergency! chest pain at Sarbet,Medical/Hospital,amharic,0.89
"Critical: allergic reaction at the Mosque, need doctor",Medical/Hospital,english,0.93
"Witnessed suspicious person at the Church, send police",Police,english,0.82
Call police: identity theft happening at the Hotel right now,Police,english,0.82
"domestic dispute at Kebele 06, immediate police response needed",Police,english,0.92
Fire emergency: brush fire at a family home,Fire Force,english,0.91
Fire emergency: fuel spill at the Hospital gate,Fire Force,english,0.94
"URGENT: rubbish fire reported at the Hospital gate, send fire department",Fire Force,english,0.85
Emergency: house fire occurring at Kebele 04,Fire Force,english,0.99
Someone is having severe headache at Bus Terminal,Medical/Hospital,english,0.85
Emergency: home invasion occurring at Kebele 08,Police,english,0.97
"Critical: choking incident at Piazza, need doctor",Medical/Hospital,english,0.89
Hazardous situation: explosion at Central Bank,Fire Force,english,0.93
Medical crisis: heart attack at the School,Medical/Hospital,amharic,0.9
"Active car theft at the Mosque, need backup",Police,english,0.94
Help! structure fire at Adama Market,Fire Force,english,0.99
Help! carjacking at Adama Market,Police,afaan_oromo,0.94
Emergency: chemical fire occurring at Central Bank,Fire Force,english,0.96
Need doctor for severe headache at a residential building immediately,Medical/Hospital,amharic,0.81
"Critical: gas leak at the Roundabout, multiple units needed",Fire Force,english,0.99
Feedback: sample report,Other,english,0.97
"Report of rubbish fire at Sarbet, fire trucks needed",Fire Force,english,0.86
Emergency medical assistance needed for severe bleeding at CMC Condominium,Medical/Hospital,english,0.91
Police needed immediately for domestic dispute at Bole Road,Police,english,0.87
"Witnessed stolen vehicle at the local Pharmacy, send police",Police,english,0.9
"Report of carjacking at Atlas area, police dispatched",Police,english,0.98
Call police: stolen vehicle happening at the Hospital gate right now,Police,english,0.96
"Critical: brush fire at the Main Factory, multiple units needed",Fire Force,english,0.92
Medical emergency: cardiac arrest reported at Kazanchis,Medical/Hospital,english,0.93
Help! apartment fire at Train Station,Fire Force,english,0.99
Emergency medical assistance needed for breathing difficulty at Adama Market,Medical/Hospital,english,0.91
Fire emergency: warehouse fire at Main Road,Fire Force,english,0.9
"warehouse fire at a villa, immediate fire response required",Fire Force,afaan_oromo,0.85
Fire response required for smoke investigation at my Home,Fire Force,english,0.92
Help! domestic dispute at Kebele 06,Police,english,0.93
"Report of armed robbery at the shopping mall, police dispatched",Police,english,0.92
Someone is having electric shock at the Office,Medical/Hospital,english,0.89
"URGENT: kidnapping reported at Central Bank, send officers",Police,english,0.96
Smoke reported: carbon monoxide alarm at the Main Factory,Fire Force,english,0.88
"robbery in progress at the University campus, police needed",Police,english,0.91
Fire emergency: roof fire at the Office,Fire Force,afaan_oromo,0.87
Medical crisis: hypothermia at Kebele 04,Medical/Hospital,english,0.94
Medical emergency: hypothermia reported at the Bridge,Medical/Hospital,english,0.93
Emergency: stolen vehicle occurring at a shared house,Police,english,0.84
"URGENT: harassment reported at Kebele 04, send officers",Police,amharic,0.82
Need doctor for breathing difficulty at Kebele 06 immediately,Medical/Hospital,amharic,0.87
"Report of gas leak at a private residence, fire trucks needed",Fire Force,english,0.93
Fire alarm: vehicle fire at a compound,Fire Force,amharic,0.85
"URGENT: choking incident at the Roundabout, send paramedics",Medical/Hospital,english,0.87
"Report of smoke investigation at Piazza, fire trucks needed",Fire Force,english,0.89
Someone is having severe headache at a private residence,Medical/Hospital,english,0.85
"Critical: collapsed person at the Fire Station, need doctor",Medical/Hospital,english,0.85
Security incident: home invasion at Mexico Square,Police,english,0.94
Fire alarm: house fire at the Bank,Fire Force,english,0.94
Structure fire: warehouse fire at a residential building,Fire Force,amharic,0.94
"Person experiencing severe bleeding at a shared house, need ambulance",Medical/Hospital,english,0.97
"Witnessed domestic dispute at a compound, send police",Police,english,0.85
Police assistance required for trespassing at the Gas Station,Police,english,0.86
"wildfire at the shopping mall, immediate fire response required",Fire Force,english,0.99
"Critical: woman in labor at Central Bank, need doctor",Medical/Hospital,english,0.87
"back injury reported at Kazanchis, send medical help",Medical/Hospital,english,0.92
Medical crisis: heart attack at a residential building,Medical/Hospital,english,0.99
Emergency: harassment occurring at Atlas area,Police,english,0.91
Emergency: kitchen fire occurring at Sarbet,Fire Force,amharic,0.84
Police assistance required for shooting at Atlas area,Police,amharic,0.88
"Witnessed mugging at the Park, send police",Police,english,0.91
"Report of kidnapping at the Church, police dispatched",Police,afaan_oromo,0.94
"Report of stroke at a family home, medical team required",Medical/Hospital,english,0.97
"panic attack reported at Summit, send medical help",Medical/Hospital,english,0.85
"Report of burn injury at the University campus, medical team required",Medical/Hospital,english,0.93
Police assistance required for fight at Bus Terminal,Police,english,0.87
Structure fire: transformer fire at a private residence,Fire Force,english,0.88
Smoke reported: forest fire at Kebele 02,Fire Force,afaan_oromo,0.82
Hazardous situation: kitchen fire at the local Pharmacy,Fire Force,english,0.92
"roof fire at the Stadium, immediate fire response required",Fire Force,english,0.91
"head injury reported at the Church, send medical help",Medical/Hospital,english,0.95
Someone is having drowning incident at the Stadium,Medical/Hospital,english,0.97
Help! eye injury occurring at CMC Condominium,Medical/Hospital,english,0.87
Help! burn injury occurring at CMC Condominium,Medical/Hospital,english,0.85
Emergency medical assistance needed for poisoning at the Hotel,Medical/Hospital,afaan_oromo,0.85
"Report of house fire at Kebele 04, fire trucks needed",Fire Force,english,0.95
Fire response required for chemical fire at Kazanchis,Fire Force,amharic,0.94
Emergency: stolen vehicle occurring at the Fire Station,Police,english,0.97
Emergency medical assistance needed for eye injury at Train Station,Medical/Hospital,english,0.85
Police assistance required for fraud at the Hospital gate,Police,english,0.87
Law enforcement required for robbery at the local Pharmacy,Police,english,0.89
Need doctor for respiratory distress at the Mosque immediately,Medical/Hospital,english,0.85
"Report of wildfire at Mexico Square, fire trucks needed",Fire Force,english,0.93
"URGENT: respiratory distress at Central Bank, send paramedics",Medical/Hospital,afaan_oromo,0.91
Police needed immediately for domestic dispute at the Park,Police,english,0.87
"Report of transformer fire at Adama Market, fire trucks needed",Fire Force,english,0.91
