text,label,language,confidence_score
URGENT police response needed: kidnapping attempt at Bole Road.,Police,,
Send fire truck to Bus Terminal: kitchen fire,Fire Force,amharic,
Medical emergency at Adama Market: fainting,Medical/Hospital,amharic,
Emergency! There is gas leak happening at the Central Bank.,Fire Force,,
Emergency! Reporting inferno at Piazza.,Fire Force,,
Emergency! Need police at Sarbet - group with weapons.,Police,,
"Hello No emergency, just hi there",Other,,
Police emergency! stolen goods at Kazanchis,Police,amharic,
Officer required at Main Road: robbery,Police,,0.77
Person with head injury at Mexico Square,Medical/Hospital,amharic,
Need firefighters at High School for thick smoke,Fire Force,,0.91
Reporting person who fell at the Hospital gate.,Medical/Hospital,,
Fire emergency at Piazza - transformer fire,Fire Force,,0.91
Car accident with fire at University campus,Fire Force,,0.68
Reporting burning smell at construction site,Fire Force,,0.95
Car accident with fire at the Office,Fire Force,,0.58
Person with overdose at Sarbet,Medical/Hospital,,0.94
Ibidda Gerji,Police,afaan_oromo,
Help! transformer fire at the Hospital gate!,Fire Force,,
Person with car accident with injuries at CMC Condominium,Medical/Hospital,amharic,
Emergency! Witnessed armed suspect at an Apartment building.,Police,,
Just is anyone there,Other,,
Please send paramedics to Adama Market: overdose,Medical/Hospital,afaan_oromo,
Emergency! gas leak at Adama Police Station,Fire Force,,0.95
Send police immediately to Piazza - armed suspect in progress.,Police,,
Person with allergic reaction at Adama General Hospital,Medical/Hospital,amharic,
Send police to Atlas area - violent fight in progress,Police,,0.98
Need police at Main Road for car theft,Police,amharic,
Hi Just is anyone there please,Other,,
"Hey No emergency, just thank you please",Other,,
Emergency! Reporting robbery at Kazanchis.,Police,,
Emergency medical assistance needed at Kazanchis for poisoning.,Medical/Hospital,,
"Please send the fire force to the shopping mall, there is inferno.",Fire Force,,
Police emergency! stabbing at an Apartment building,Police,afaan_oromo,
Hello Checking in - hello please,Other,,
Please send police to Kebele 04 for car theft.,Police,,
Emergency! Need an ambulance at the Bus Terminal - collapsed person.,Medical/Hospital,,
Emergency! There is a person with unconscious person at Adama Market.,Medical/Hospital,,
Reporting burglary at Summit,Police,,0.96
Medical emergency at University campus: burn victim,Medical/Hospital,,0.83
Emergency! There is a person with heavy bleeding at Bole Road.,Medical/Hospital,,
Emergency! There is a person with broken leg at the Office.,Medical/Hospital,,
Emergency! Please send police to Adama Market for violent fight.,Police,,
Emergency! Reporting stabbing at the Train Station.,Police,,
Emergency! Need police at Adama Market - kidnapping attempt.,Police,,
"Hi No emergency, just time check",Other,,
Police emergency! shooting at High School,Police,afaan_oromo,
Emergency! Please send police to the Gas Station for group with weapons.,Police,,
Officer required at Central Bank: suspicious person,Police,,0.87
"No emergency, just is anyone there",Other,,
Hafuura baafachuu dadhabe Gas Station,Fire Force,afaan_oromo,
Need police at the University campus - armed suspect.,Police,,
"Emergency! Please send the fire force to the Central Bank, there is thick smoke.",Fire Force,,
Medical emergency at Kazanchis: car accident with injuries,Medical/Hospital,afaan_oromo,
Send police to Atlas area - riot in progress,Police,,0.86
Hi Checking in - time check thanks,Other,,
Emergency! Witnessed mugging at the main Factory.,Police,,
"Hi hello world, thanks thanks",Other,,
Need police at Kazanchis for stolen goods,Police,afaan_oromo,
URGENT: brush fire reported at Bole Road.,Fire Force,,
"Emergency! Please send the fire force to Kazanchis, there is something burning.",Fire Force,,
Checking in - hello world,Other,,
Reporting poisoning at CMC Condominium.,Medical/Hospital,,
Emergency! fire on the balcony at the Park.,Fire Force,,
Emergency! flames spreading at the High School.,Fire Force,,
Send police to Adama Market - stabbing in progress,Police,,0.72
Please send paramedics to Kebele 04: animal bite,Medical/Hospital,amharic,
Need firefighters at Main Road for huge flames,Fire Force,afaan_oromo,
Reporting robbery at Main Road,Police,,0.86
Send fire truck to Kebele 02: warehouse fire,Fire Force,,0.91
"Hello Hello, good morning",Other,,
URGENT: car accident with injuries at Summit.,Medical/Hospital,,
Emergency! Please send police to Sarbet for kidnapping attempt.,Police,,
Officer required at Kebele 04: armed suspect,Police,,0.91
Need ambulance at shopping mall - fainting,Medical/Hospital,amharic,
Emergency! Help! gas leak at the shopping mall!,Fire Force,,
Reporting burning smell at Kebele 04,Fire Force,amharic,
Send police to Atlas area - stolen goods in progress,Police,amharic,
Emergency! overdose at shopping mall,Medical/Hospital,amharic,
URGENT: breathing difficulty at the Bus Terminal.,Medical/Hospital,,
Officer required at the Office: riot.,Police,,
Witnessed stabbing at the Main Road.,Police,,
Emergency! Witnessed vandalism at Summit.,Police,,
Police emergency! harassment at Kazanchis,Police,amharic,
እርዳታ ያስፈልገኛል በCMC Condominium,Medical/Hospital,amharic,
Emergency medical assistance needed at Kebele 04 for heart attack.,Medical/Hospital,,
Need firefighters at Piazza for fire in the basement,Fire Force,afaan_oromo,
Emergency! Help! something burning at a back alley!,Fire Force,,
Emergency! Need police at my Home - shooting.,Police,,
Emergency! Officer required at CMC Condominium: assault.,Police,,
Reporting fainting spell at Gerji.,Medical/Hospital,,
Emergency! fire on the balcony at the University campus.,Fire Force,,
Balaan gahe Adama Market,Police,afaan_oromo,
"Fight with weapons, people injured at Kebele 04",Police,,0.69
Emergency! Reporting heavy bleeding at the Bus Terminal.,Medical/Hospital,,
Need police at CMC Condominium for riot,Police,amharic,
"Hey No emergency, just is anyone there",Other,,
Hi wrong number?,Other,,
Police emergency! group with weapons at the Office.,Police,,
Send fire truck to shopping mall: massive blaze,Fire Force,amharic,
Police emergency! domestic dispute at Central Bank,Police,amharic,
Emergency! Witnessed stolen goods at my Home.,Police,,
Hi Quick question: testing the app please,Other,,
"General question, thanks thanks",Other,,
Emergency! Witnessed mugging at Atlas area.,Police,,
"Emergency! Please send the fire force to the Park, there is small fire.",Fire Force,,
Quick question: how are you please,Other,,
"Fire in apartment, someone trapped at Piazza",Fire Force,,0.61
Hello Just general question thanks,Other,,
Fire emergency at Kebele 02 - kitchen fire,Fire Force,amharic,
Emergency! Reporting allergic reaction at the construction site.,Medical/Hospital,,
Need police at Kebele 04 for car theft,Police,,0.81
Need firefighters at Mexico Square for massive blaze,Fire Force,,0.91
Officer required at Bole Road: armed suspect.,Police,,
Emergency! Need an ambulance at the local Pharmacy - allergic reaction.,Medical/Hospital,,
"Hi hello world, thanks",Other,,
Medical emergency at Kazanchis: burn victim.,Medical/Hospital,,
General question,Other,,
Please send police to Gerji for domestic dispute.,Police,,
Medical emergency at the main Factory: overdose.,Medical/Hospital,,
Emergency! Help! smoke coming from the roof at the Bus Terminal!,Fire Force,,
Emergency! fire at Adama General Hospital,Fire Force,afaan_oromo,
Poolisiin na biliisa shopping mall,Medical/Hospital,afaan_oromo,
Emergency! burn victim at Central Bank,Medical/Hospital,afaan_oromo,
"Robbery, victim having heart attack at Piazza",Police,,0.56
Emergency! Please send paramedics to Kebele 02: poisoning.,Medical/Hospital,,
Need ambulance at an Apartment building - car accident with injuries,Medical/Hospital,amharic,
Send police to Central Bank - assault in progress,Police,,0.89
Send fire truck to Bus Terminal: something burning,Fire Force,amharic,
Emergency! Officer required at the main Factory: robbery.,Police,,
I see fire in the basement at the Hospital gate.,Fire Force,,
Emergency! There is explosion happening at the construction site.,Fire Force,,
Emergency! Send police immediately to my Home - kidnapping attempt in progress.,Police,,
URGENT: kitchen fire reported at the Central Bank.,Fire Force,,
Police emergency! violent fight at Adama Market.,Police,,
"No emergency, just good morning",Other,,
"Emergency! Please send the fire force to the Bus Terminal, there is smoke coming from the roof.",Fire Force,,
Need firefighters at Sarbet for massive blaze,Fire Force,amharic,
Medical emergency at Piazza: car accident with injuries,Medical/Hospital,amharic,
Medical emergency at shopping mall: choking,Medical/Hospital,,0.98
Emergency! burn victim at shopping mall,Medical/Hospital,,0.58
Please send paramedics to University campus: seizure,Medical/Hospital,amharic,
Emergency! explosion at Fire Station,Fire Force,amharic,
Emergency! Witnessed shooting at Adama Market.,Police,,
Car accident with fire at Bus Terminal,Fire Force,,0.57
Police emergency! domestic dispute at Summit,Police,,0.69
Emergency! burning smell at Kazanchis,Fire Force,,0.73
Send fire truck to High School: smoke coming from the roof,Fire Force,,0.87
Officer required at Summit: violent fight.,Police,,
Police emergency! group with weapons at Sarbet,Police,afaan_oromo,
Please send paramedics to High School: collapsed,Medical/Hospital,afaan_oromo,
Hospitaala nan barbaada Fire Station,Fire Force,afaan_oromo,
Hi Checking in - good morning please,Other,,
Emergency! Officer required at the shopping mall: kidnapping attempt.,Police,,
URGENT: massive blaze reported at Mexico Square.,Fire Force,,
Emergency! something burning at the Gas Station.,Fire Force,,
Send fire truck to Piazza: fire on the balcony,Fire Force,afaan_oromo,
Emergency! Reporting fire in the basement at a back alley.,Fire Force,,
Send police to Adama Market - stolen goods in progress,Police,,0.93
Reporting burglary at Kebele 02.,Police,,
Emergency! Witnessed harassment at the High School.,Police,,
Hello Checking in - how are you?,Other,,
Send police to High School - riot in progress,Police,amharic,
Emergency! I see kitchen fire at the construction site.,Fire Force,,
"Emergency! Please send the fire force to the Train Station, there is warehouse fire.",Fire Force,,
Need firefighters at Train Station for warehouse fire,Fire Force,,0.92
URGENT police response needed: suspicious person at Summit.,Police,,
Emergency! Please send police to my Home for mugging.,Police,,
Send fire truck to the Main Road - something burning.,Fire Force,,
Hello good morning please,Other,,
URGENT: huge flames reported at the Stadium.,Fire Force,,
"Emergency! Please send the fire force to the Train Station, there is smoke coming from the roof.",Fire Force,,
Need an ambulance at the main Factory - seizure.,Medical/Hospital,,
Emergency! Help! smoke coming from the roof at the Stadium!,Fire Force,,
Hello Quick question: hi there thanks,Other,,
Need police at Main Road for thief,Police,amharic,
"Hello world, thanks",Other,,
Hello Just time check,Other,,
Need police at Kebele 04 for shooting,Police,afaan_oromo,
Reporting fainting spell at the High School.,Medical/Hospital,,
Officer required at High School: robbery,Police,,0.97
Emergency! Need an ambulance at the Hospital gate - allergic reaction.,Medical/Hospital,,
Emergency! Officer required at the Bus Terminal: suspicious person.,Police,,
Need ambulance at Kebele 04 - breathing difficulty,Medical/Hospital,,0.89
Hey Quick question: just checking,Other,,
Hey This is system test thanks,Other,,J
"Hello No emergency, just is anyone there?",Other,,
Please send paramedics to the shopping mall: heart attack.,Medical/Hospital,,
ሰረቁኝ በUniversity campus,Fire Force,amharic,
URGENT: small fire reported at the Central Bank.,Fire Force,,
Emergency! Need police at the Stadium - stolen goods.,Police,,
Emergency! Need an ambulance at Gerji - stroke.,Medical/Hospital,,
Quick question: hello world thanks,Other,,
Medical emergency at the Central Bank: breathing difficulty.,Medical/Hospital,,
There is kitchen fire happening at the Hospital gate.,Fire Force,,
Officer required at Kazanchis: vandalism,Police,afaan_oromo,
Fire emergency at Summit - burning smell,Fire Force,,0.97
Reporting suspicious person at Main Road,Police,afaan_oromo,
Reporting thick smoke at the main Factory.,Fire Force,,
እርዳታ ያስፈልገኛል በHigh School,Medical/Hospital,amharic,
Emergency! Officer required at the Gas Station: burglary.,Police,,
Reporting burning smell at the High School.,Fire Force,,
Send fire truck to shopping mall: huge flames,Fire Force,,0.71
URGENT: fire on the balcony reported at Bole Road.,Fire Force,,
Need police at Gerji - harassment.,Police,,
Medical emergency at Atlas area: poisoning.,Medical/Hospital,,
Emergency! Help! fire on the balcony at the Central Bank!,Fire Force,,
Hi weather report?,Other,,
Need an ambulance at Gerji - car accident with injuries.,Medical/Hospital,,
"Gas leak, people unconscious at Kebele 04",Fire Force,,0.68
Reporting something burning at Kebele 02,Fire Force,amharic,
Police emergency! kidnapping attempt at a back alley.,Police,,
Emergency! Witnessed kidnapping attempt at CMC Condominium.,Police,,
"Hello No emergency, just hi there thanks",Other,,
Emergency! chemical fire at a back alley.,Fire Force,,
Need police at Piazza for vandalism,Police,,0.95
Emergency! Need an ambulance at the Park - unconscious person.,Medical/Hospital,,
Hey Checking in - hello,Other,,
Hi Quick question: app feedback?,Other,,
ሆስፒታል ያስፈልገኛል በSummit,Police,amharic,
"No emergency, just how are you",Other,,
Fire emergency at Fire Station - fire,Fire Force,,0.7
Need firefighters at Kebele 04 for thick smoke,Fire Force,amharic,
Medical emergency at the Bus Terminal: person not breathing.,Medical/Hospital,,
"Hello wrong number, thanks please",Other,,
"Please send the fire force to an Apartment building, there is burning smell.",Fire Force,,
Need ambulance at construction site - choking,Medical/Hospital,afaan_oromo,
እሳት ወጥቷል በBus Terminal,Police,amharic,
Emergency! woman in labor at an Apartment building,Medical/Hospital,afaan_oromo,
"Hey No emergency, just wrong number",Other,,
Emergency! I see massive blaze at Mexico Square.,Fire Force,,
"Hello, system test",Other,,
Emergency medical assistance needed at Mexico Square for person not breathing.,Medical/Hospital,,
Emergency! Officer required at the Main Road: harassment.,Police,,
"Emergency! Please send the fire force to the Gas Station, there is brush fire.",Fire Force,,
Officer required at construction site: break-in,Police,,0.45
Officer required at CMC Condominium: domestic dispute.,Police,,
Emergency! Send police immediately to Sarbet - armed suspect in progress.,Police,,
Police emergency! violent fight at Kebele 04,Police,amharic,
Quick question: general question,Other,,
"Hello, general question",Other,,
Officer required at Adama General Hospital: assault,Police,afaan_oromo,
Please send paramedics to Summit: unconscious,Medical/Hospital,,0.96
Please send paramedics to Piazza: car accident with injuries,Medical/Hospital,,0.73
Emergency! Send fire truck to the High School - fire on the balcony.,Fire Force,,
Need firefighters at the Office for something burning,Fire Force,amharic,
"Hi thank you, thanks",Other,,
"Kitchen fire, burn victim at the Office",Fire Force,,0.58
Emergency! gas leak at Adama General Hospital,Fire Force,amharic,
Emergency! Reporting smoke coming from the roof at the main Factory.,Fire Force,,
Emergency! Please send police to Piazza for stolen goods.,Police,,
Emergency! Need police at Mexico Square - thief.,Police,,
Send fire truck to Gas Station: fire on the balcony,Fire Force,afaan_oromo,
Emergency! gas leak at High School,Fire Force,,0.78
Emergency! Reporting overdose at the local Pharmacy.,Medical/Hospital,,
Police emergency! kidnapping attempt at Adama Market,Police,afaan_oromo,
Emergency! Need police at Bole Road - assault.,Police,,
Emergency! Need an ambulance at Bole Road - burn victim.,Medical/Hospital,,
Emergency! Someone has seizure at the main Factory.,Medical/Hospital,,
Emergency! Need an ambulance at my Home - person not breathing.,Medical/Hospital,,
URGENT police response needed: domestic dispute at the construction site.,Police,,
URGENT police response needed: violent fight at the Central Bank.,Police,,
Emergency! There is break-in happening at a back alley.,Police,,
Emergency! inferno at the shopping mall.,Fire Force,,
Reporting fire in the basement at Adama Market,Fire Force,,0.87
Officer required at Summit: stabbing,Police,amharic,
Send police to Central Bank - stabbing in progress,Police,amharic,
Please send paramedics to my Home: head injury.,Medical/Hospital,,
Emergency! Someone has poisoning at the High School.,Medical/Hospital,,
Need police at the Train Station - kidnapping attempt.,Police,,
Emergency! There is fire in the basement happening at the construction site.,Fire Force,,
"No emergency, just weather report please",Other,,
Emergency! Reporting choking incident at the local Pharmacy.,Medical/Hospital,,
Emergency! Reporting breathing difficulty at the Park.,Medical/Hospital,,
Police emergency! armed suspect at the Bus Terminal.,Police,,
እርዳታ ያስፈልገኛል በSarbet,Medical/Hospital,amharic,
Send fire truck to Summit: smoke coming from the roof,Fire Force,afaan_oromo,
Medical emergency at a back alley: breathing difficulty.,Medical/Hospital,,
Fire emergency at Adama General Hospital - electrical sparks,Fire Force,afaan_oromo,
Reporting huge flames at the Gas Station.,Fire Force,,
Emergency! fainting at Mexico Square,Medical/Hospital,amharic,
Reporting vandalism at the Hospital gate.,Police,,
Emergency medical assistance needed at the shopping mall for burn victim.,Medical/Hospital,,
Need police at Bus Terminal for break-in,Police,,0.89
Medical emergency! animal bite at Kazanchis.,Medical/Hospital,,
Emergency! Witnessed drug dealing at the main Factory.,Police,,
"Robbery, victim having heart attack at construction site",Police,,0.55
ፖሊስ ይደውሉልኝ በSummit,Police,amharic,
Emergency! Send fire truck to the Stadium - flames spreading.,Fire Force,,
Fire emergency at Fire Station - explosion,Fire Force,,0.89
URGENT police response needed: mugging at Sarbet.,Police,,
Police emergency! car theft at Summit.,Police,,
Emergency! Please send police to Sarbet for riot.,Police,,
Please send police to Kebele 04 for stabbing.,Police,,
Officer required at an Apartment building: suspicious person.,Police,,
Emergency! Send police immediately to Atlas area - car theft in progress.,Police,,
Emergency! massive blaze at the Main Road.,Fire Force,,
Need ambulance at Kebele 02 - breathing difficulty,Medical/Hospital,,0.85
"Hello Hello, good morning thanks",Other,,
Emergency! huge flames at Sarbet.,Fire Force,,
Emergency! Please send paramedics to a back alley: heart attack.,Medical/Hospital,,
Reporting drug dealing at Gerji.,Police,,
Reporting stolen goods at Gerji,Police,afaan_oromo,
"Fire in apartment, someone trapped at shopping mall",Fire Force,,0.67
URGENT: something burning reported at the construction site.,Fire Force,,
Send police immediately to the shopping mall - armed suspect in progress.,Police,,
Emergency! Officer required at Kebele 04: suspicious person.,Police,,
Fire emergency at Adama Police Station - fire,Fire Force,afaan_oromo,
Emergency! Reporting thick smoke at the High School.,Fire Force,,
"Hey Hello, hello?",Other,,
Please send paramedics to Kebele 02: car accident with injuries,Medical/Hospital,afaan_oromo,
Hey Quick question: is anyone there thanks,Other,,
Reporting electrical sparks at the local Pharmacy.,Fire Force,,
URGENT: heart attack at the main Factory.,Medical/Hospital,,
Need an ambulance at my Home - fainting spell.,Medical/Hospital,,
Medical emergency! poisoning at the Hospital gate.,Medical/Hospital,,
Hi there,Other,amharic,
Emergency! There is break-in happening at Mexico Square.,Police,,
Emergency! Need firefighters at the University campus for huge flames.,Fire Force,,
Police emergency! car theft at Sarbet,Police,afaan_oromo,
Send fire truck to University campus: transformer fire,Fire Force,amharic,
Hey hi there please,Other,,
Emergency! Send fire truck to the Gas Station - chemical fire.,Fire Force,,
Emergency! Please send paramedics to the Bus Terminal: seizure.,Medical/Hospital,,
Police emergency! burglary at Main Road,Police,amharic,
Thank you,Other,amharic,
Emergency! There is drug dealing happening at the shopping mall.,Police,,
Person with fainting at Kazanchis,Medical/Hospital,amharic,
Medical emergency at Main Road: head injury,Medical/Hospital,afaan_oromo,
Reporting thick smoke at Adama Police Station,Fire Force,afaan_oromo,
This is how are you,Other,,
Emergency! transformer fire at the Bus Terminal.,Fire Force,,
Emergency! I see thick smoke at the Gas Station.,Fire Force,,
Emergency! Reporting riot at the Bus Terminal.,Police,,
"Hello, weather report",Other,,
Emergency! Reporting drug dealing at the Park.,Police,,
Emergency! Send fire truck to Atlas area - explosion.,Fire Force,,
Reporting suspicious person at Bole Road.,Police,,
Emergency! explosion at shopping mall,Fire Force,amharic,
Police emergency! robbery at Gerji,Police,afaan_oromo,
Please send paramedics to the High School: collapsed person.,Medical/Hospital,,
"Hey No emergency, just hello please",Other,,
Emergency! Someone has car accident with injuries at the shopping mall.,Medical/Hospital,,
Poolisiin na biliisa Piazza,Police,afaan_oromo,
Emergency! Need firefighters at Summit for massive blaze.,Fire Force,,
URGENT: explosion reported at Adama Market.,Fire Force,,
Reporting stabbing at Main Road,Police,,0.87
Emergency! Send police immediately to Summit - break-in in progress.,Police,,
Need police at Mexico Square for mugging,Police,afaan_oromo,
Send fire truck to Kazanchis: thick smoke,Fire Force,amharic,
Emergency! There is robbery happening at the Office.,Police,,
Hi Quick question: good morning please,Other,,
Send police to shopping mall - group with weapons in progress,Police,,0.83
Medical emergency at Kazanchis: unconscious,Medical/Hospital,,0.79
Send fire truck to Fire Station: chemical fire,Fire Force,,0.85
Emergency! breathing difficulty at Fire Station,Medical/Hospital,,0.96
Just testing the app please,Other,,
Medical emergency at Bole Road: heart attack.,Medical/Hospital,,
ልቤ ይታመማል በCentral Bank,Police,amharic,
Send fire truck to Piazza: fire in the basement,Fire Force,amharic,
Officer required at Adama Market: suspicious person,Police,,0.55
Hospitaala nan barbaada High School,Police,afaan_oromo,
"Hey Hello, how to use this",Other,,
Medical emergency at shopping mall: car accident with injuries,Medical/Hospital,afaan_oromo,
Fire emergency at Piazza - fire in the basement,Fire Force,afaan_oromo,
Emergency! Officer required at Summit: harassment.,Police,,
Medical emergency at CMC Condominium: broken leg.,Medical/Hospital,,
"Hello No emergency, just how to use this please",Other,,
Person with heart attack at Adama Market,Medical/Hospital,,0.86
Please send police to an Apartment building for shooting.,Police,,
Hey This is time check?,Other,,
Medical emergency at Kebele 02: unconscious person.,Medical/Hospital,,
Send fire truck to Adama Market - smoke coming from the roof.,Fire Force,,
Please send paramedics to construction site: broken leg,Medical/Hospital,afaan_oromo,
I see transformer fire at Piazza.,Fire Force,,
Emergency! Need an ambulance at Piazza - car accident with injuries.,Medical/Hospital,,
Help! massive blaze at the Hospital gate!,Fire Force,,
Emergency! Officer required at an Apartment building: car theft.,Police,,
Reporting explosion at Mexico Square,Fire Force,afaan_oromo,
"How are you, thanks",Other,,
Please send paramedics to the Office: heart attack,Medical/Hospital,,0.88
Emergency! allergic reaction at Summit,Medical/Hospital,,0.91
Please send police to Gerji for break-in.,Police,,
"System test, thanks",Other,,
Need firefighters at construction site for massive blaze,Fire Force,afaan_oromo,
Emergency! Send police immediately to Piazza - violent fight in progress.,Police,,
Need ambulance at High School - broken leg,Medical/Hospital,afaan_oromo,
Fire emergency at Bus Terminal - burning smell,Fire Force,,0.98
Police emergency! burglary at Adama Market,Police,,0.74
Emergency! Someone has burn victim at a back alley.,Medical/Hospital,,
Fire emergency at Gerji - thick smoke,Fire Force,amharic,
Need police at Atlas area for group with weapons,Police,amharic,
URGENT police response needed: riot at Adama Market.,Police,,
Medical emergency! head injury at Kebele 02.,Medical/Hospital,,
Police emergency! stolen goods at Train Station,Police,,0.88
Emergency! explosion at University campus,Fire Force,afaan_oromo,
Medical emergency at Sarbet: broken leg,Medical/Hospital,afaan_oromo,
URGENT police response needed: domestic dispute at Kazanchis.,Police,,
Need firefighters at Kebele 04 for brush fire,Fire Force,amharic,
Emergency! thick smoke at Kebele 02.,Fire Force,,
Emergency! Reporting transformer fire at the Bus Terminal.,Fire Force,,
Please send paramedics to University campus: heart attack,Medical/Hospital,,0.72
URGENT police response needed: kidnapping attempt at CMC Condominium.,Police,,
Medical emergency at Piazza: woman in labor,Medical/Hospital,afaan_oromo,
Officer required at Main Road: suspicious person,Police,,0.85
Reporting fire at shopping mall,Fire Force,,0.7
Hello Checking in - is anyone there?,Other,,
Emergency! There is kitchen fire happening at the Park.,Fire Force,,
Reporting fire in the basement at the main Factory.,Fire Force,,
Need police at an Apartment building for burglary,Police,afaan_oromo,
Emergency! Reporting thief at Atlas area.,Police,,
Lapheen ni dhukkuba Summit,Fire Force,afaan_oromo,
"Emergency! Please send the fire force to the Main Road, there is gas leak.",Fire Force,,
Emergency! There is a person with seizure at Bole Road.,Medical/Hospital,,
Send police to Central Bank - break-in in progress,Police,afaan_oromo,
Need firefighters at Piazza for chemical fire,Fire Force,,0.88
"Hi how to use this, thanks?",Other,,
Emergency! Need an ambulance at the Central Bank - person who fell.,Medical/Hospital,,
Medical emergency at Mexico Square: person not breathing.,Medical/Hospital,,
Reporting flames spreading at Train Station,Fire Force,amharic,
Witnessed robbery at the Bus Terminal.,Police,,
Someone has fainting spell at the Office.,Medical/Hospital,,
Send police to Gerji - stolen goods in progress,Police,afaan_oromo,
Emergency medical assistance needed at Kazanchis for broken leg.,Medical/Hospital,,
Police emergency! assault at Bole Road.,Police,,
Hello weather report?,Other,,
Need firefighters at Mexico Square for fire,Fire Force,amharic,
Medical emergency at Sarbet: collapsed person.,Medical/Hospital,,
"Hello general question, thanks thanks",Other,,
"Emergency! Please send the fire force to the Train Station, there is fire in the basement.",Fire Force,,
Hello Just just checking?,Other,,
Medical emergency at Atlas area: several injured people.,Medical/Hospital,,
"Hey No emergency, just general question thanks",Other,,
Hi hi there?,Other,,
Hi This is thank you thanks,Other,,
Police emergency! assault at the High School.,Police,,
Need police at Kazanchis for mugging,Police,,0.93
Police emergency! mugging at the shopping mall.,Police,,
Emergency! Please send police to Kebele 04 for domestic dispute.,Police,,
Send fire truck to Sarbet: gas leak,Fire Force,afaan_oromo,
Emergency! Someone has unconscious person at Kebele 02.,Medical/Hospital,,
Hi Checking in - thank you thanks,Other,,
Emergency! Need an ambulance at the main Factory - choking incident.,Medical/Hospital,,
Medical emergency! heavy bleeding at the local Pharmacy.,Medical/Hospital,,
"Hello just checking, thanks thanks",Other,,
