text,label,language,confidence_score
"Violent attack, victim unconscious and bleeding at the Office",Medical/Hospital,english,0.6
"Possible heart attack, but I'm not certain at Gerji",Medical/Hospital,english,0.54
Something doesn't look right here at the marketplace,Police,english,0.55
"Maybe a robbery, not certain at the marketplace",Police,english,0.55
"Apartment fire, people trapped inside at a local house",Fire Force,english,0.65
ቤት ውስጥ እሳት ተነስቷል በዋና መንገድ,Fire Force,amharic,0.79
"Someone might need medical attention, not sure at Summit",Medical/Hospital,english,0.65
Forest fire spreading rapidly toward homes at Adama Market,Fire Force,english,0.97
ጋዝ እየፈሰሰ ነው አደጋ ሊከሰት ይችላል በሲኤምሲ,Fire Force,amharic,0.83
ጢስ እየወጣ ነው እሳት ሊኖር ይችላል በአውቶቡስ ቴርሚናል,Fire Force,amharic,0.81
"Gas leak, people are unconscious at Summit",Fire Force,english,0.66
Demonstration mode active,Other,english,0.89
Poolisii ariifachiisaa Daandii Guddaa,Police,afaan_oromo,0.76
Not sure but someone looks sick at the Main Factory,Medical/Hospital,english,0.62
"Major trauma with heavy bleeding, emergency transport required at the University campus",Medical/Hospital,english,0.98
የህክምና ድንገተኛ ሁኔታ ተከስቷል በስታዲየም,Medical/Hospital,amharic,0.76
Just checking if the system works,Other,english,0.98
"Gas leak, people are unconscious at Sarbet",Fire Force,english,0.66
"Major incident with fire, injuries, and crime scene at Atlas area",Fire Force,english,0.55
"Maybe a robbery, not certain at a residential building",Police,english,0.6
"Someone is acting strange, might need doctor at the Office",Medical/Hospital,english,0.45
Terrorist attack causing fire and casualties at Atlas area,Police,english,0.52
Gargaarsa fayyaa barbaada Buufata Otobisii,Medical/Hospital,afaan_oromo,0.74
"Severe bleeding, send paramedics right away at Main Road",Medical/Hospital,english,0.88
"No emergency, just a test message",Other,english,0.88
Ijaarsi ibidda jala jira Buufata Otobisii,Fire Force,afaan_oromo,0.82
"Something burning maybe, please check at the commercial district",Fire Force,english,0.63
"Officer needs backup, suspect resisting at Sarbet",Police,english,0.93
Protestors burning vehicles at Central Bank,Police,english,0.6
"Possible heart attack, but I'm not certain at the Office",Medical/Hospital,english,0.65
Domestic violence incident with active assault at Central Bank,Police,english,0.99
Criminal barricaded in burning building at the Hospital gate,Police,english,0.63
"Active seizure, patient needs emergency medical care at the Hospital gate",Medical/Hospital,english,0.97
"Testing the app, please ignore",Other,english,0.97
ዘራፊ ገብቷል ፖሊስ ያስፈልጋል በቀበሌ 04,Police,amharic,0.7
ህመምተኛ አለ ዶክተር ያስፈልጋል በፓርክ,Medical/Hospital,amharic,0.8
Not sure if it's a crime but looks wrong at the shopping mall,Police,english,0.62
Not sure but someone looks sick at Atlas area,Medical/Hospital,english,0.49
ቤት ውስጥ እሳት ተነስቷል በአዳማ ገበያ,Fire Force,amharic,0.85
"Unconscious person not breathing, cardiac arrest at Sarbet",Medical/Hospital,english,0.95
"I heard a pop, might be electrical at the Stadium",Fire Force,english,0.42
ጋዝ እየፈሰሰ ነው አደጋ ሊከሰት ይችላል በባቡር ጣቢያ,Fire Force,amharic,0.84
ፖሊስ በአስቸኳይ ይላኩ በቀበሌ 04,Police,amharic,0.78
"Shots fired, active shooter situation at Central Bank",Police,english,0.95
Aarii baay'ee jira Piazza,Fire Force,afaan_oromo,0.88
ዘራፊ ገብቷል ፖሊስ ያስፈልጋል በቦሌ መንገድ,Police,amharic,0.76
"Gas leak, people are unconscious at Sarbet",Fire Force,english,0.66
Waan hatamuun uumame Buufata Baabura,Police,afaan_oromo,0.84
"Maybe a robbery, not certain at the Office",Police,english,0.58
Manni ibidda bubba'e Bole Daandii,Fire Force,afaan_oromo,0.85
ሐኪም በአስቸኳይ ይፈለጋል በዋና መንገድ,Medical/Hospital,amharic,0.88
"Person shot, multiple injuries reported at Kebele 04",Medical/Hospital,english,0.58
Criminal barricaded in burning building at the Stadium,Police,english,0.63
Arson suspect caught on fire at the shopping mall,Police,english,0.57
"Riot with multiple offenders, public safety risk at a private residence",Police,english,0.96
Not sure if it's a crime but looks wrong at Train Station,Police,english,0.59
"Major trauma with heavy bleeding, emergency transport required at the Office",Medical/Hospital,english,0.95
"Severe bleeding, send paramedics right away at Gerji",Medical/Hospital,english,0.88
Manni ibidda bubba'e Adama Gandaa,Fire Force,afaan_oromo,0.79
"Possible smoke, but I'm not certain at Kebele 04",Fire Force,english,0.47
"I heard a pop, might be electrical at the Stadium",Fire Force,english,0.48
"I heard a pop, might be electrical at an Apartment building",Fire Force,english,0.57
"Major incident with fire, injuries, and crime scene at the downtown area",Fire Force,english,0.55
Car crash with fire and suspected DUI at a residential building,Fire Force,english,0.58
የወንጀል ክስተት ተከስቷል በስታዲየም,Police,amharic,0.88
"Person having heart attack, need ambulance immediately at the city center",Medical/Hospital,english,0.89
Riot with fires set to buildings at the Office,Police,english,0.61
የህዝብ ጸጥታ ችግር አለ በአዳማ ገበያ,Police,amharic,0.86
"Simulation running, no action needed",Other,english,0.93
"Simulation running, no action needed",Other,english,0.99
Practice report for training purposes,Other,english,0.96
"Child choking, immediate medical intervention needed at Central Bank",Medical/Hospital,english,0.94
"Burglary in progress, suspect inside building at CMC Condominium",Police,english,0.96
"Active seizure, patient needs emergency medical care at the Main Factory",Medical/Hospital,english,0.98
"Person shot, multiple injuries reported at the Stadium",Medical/Hospital,english,0.58
"Industrial fire with toxic smoke, evacuate area at Bole Road",Fire Force,english,0.97
Hospitaala nan barbaada Buufata Baabura,Medical/Hospital,afaan_oromo,0.82
ጥቃት ደርሶብኛል ፖሊስ ይምጡ በፒያሳ,Police,amharic,0.84
Poolisii ariifachiisaa Buufata Baabura,Police,afaan_oromo,0.87
"Someone might need medical attention, not sure at the business district",Medical/Hospital,english,0.49
Gas main break with strong odor throughout area at the downtown area,Fire Force,english,0.89
Apartment building fire with residents trapped at an Apartment building,Fire Force,english,0.95
Ijaarsi ibidda jala jira Baankii Qabxii,Fire Force,afaan_oromo,0.73
Yeroo madaa namni dhukkubsate jira Daandii Guddaa,Medical/Hospital,afaan_oromo,0.85
Protestors burning vehicles at the Stadium,Police,english,0.6
Multi-vehicle accident with fire on highway at the University campus,Fire Force,english,0.89
"Sample message, disregard",Other,english,0.9
"Building explosion, multiple casualties at a private residence",Fire Force,english,0.63
Not sure if it's a crime but looks wrong at Summit,Police,english,0.63
"I heard a pop, might be electrical at Atlas area",Fire Force,english,0.5
"Kidnapping witnessed, suspect fleeing scene at Atlas area",Police,english,0.99
"Sample message, disregard",Other,english,0.9
Not sure if it's a crime but looks wrong at Piazza,Police,english,0.64
Just checking if the system works,Other,english,0.9
Multi-vehicle accident with fire on highway at Main Road,Fire Force,english,0.96
Criminal barricaded in burning building at Train Station,Police,english,0.63
"Maybe a robbery, not certain at the Main Factory",Police,english,0.52
Domestic violence incident with active assault at an Apartment building,Police,english,0.94
"Fight with weapons, people are injured at Adama Market",Medical/Hospital,english,0.59
Just checking if the system works,Other,english,0.87
"Someone is acting strange, might need doctor at Adama Market",Medical/Hospital,english,0.43
Poolisii ariifachiisaa Piazza,Police,afaan_oromo,0.81
"I smell something like smoke, not sure at Atlas area",Fire Force,english,0.47
ጋዝ እየፈሰሰ ነው አደጋ ሊከሰት ይችላል በፒያሳ,Fire Force,amharic,0.74
Domestic violence incident with active assault at Central Bank,Police,english,0.93
"Fight with weapons, people are injured at Train Station",Medical/Hospital,english,0.59
ጋዝ እየፈሰሰ ነው አደጋ ሊከሰት ይችላል በፓርክ,Fire Force,amharic,0.86
"Officer needs backup, suspect resisting at the University campus",Police,english,0.93
"I heard something, might be trouble at the marketplace",Police,english,0.67
Hospitaala nan barbaada Staadiyamii,Medical/Hospital,afaan_oromo,0.87
Gas main break with strong odor throughout area at the marketplace,Fire Force,english,0.9
ቤት ውስጥ እሳት ተነስቷል በማዕከላዊ ባንክ,Fire Force,amharic,0.81
የህክምና ድንገተኛ ሁኔታ ተከስቷል በፒያሳ,Medical/Hospital,amharic,0.83
"Person with allergic reaction, throat swelling, anaphylaxis at a private residence",Medical/Hospital,english,0.98
Criminal barricaded in burning building at a private residence,Police,english,0.63
የህዝብ ጸጥታ ችግር አለ በቦሌ መንገድ,Police,amharic,0.81
ህመምተኛ አለ ዶክተር ያስፈልጋል በቀበሌ 02,Medical/Hospital,amharic,0.8
"Major trauma with heavy bleeding, emergency transport required at CMC Condominium",Medical/Hospital,english,0.97
"Could be a break-in, please investigate at the Main Factory",Police,english,0.48
Namni hame ta'e jira Buufata Baabura,Police,afaan_oromo,0.76
I think I see something suspicious at Central Bank,Police,english,0.49
Something doesn't look right here at Kebele 02,Police,english,0.47
አምቡላንስ በፍጥነት ይላኩ በቀበሌ 02,Medical/Hospital,amharic,0.78
"Fight with weapons, people are injured at a family home",Medical/Hospital,english,0.59
ጥቃት ደርሶብኛል ፖሊስ ይምጡ በዋና መንገድ,Police,amharic,0.81
Namni hame ta'e jira Kebele 02,Police,afaan_oromo,0.83
ፖሊስ በአስቸኳይ ይላኩ በአዳማ ገበያ,Police,amharic,0.77
"Child choking, immediate medical intervention needed at Bus Terminal",Medical/Hospital,english,0.9
"Child choking, immediate medical intervention needed at my Home",Medical/Hospital,english,0.97
"Someone is acting strange, might need doctor at the shopping mall",Medical/Hospital,english,0.46
Riot with fires set to buildings at Kebele 02,Police,english,0.61
እሳት ተነስቷል የእሳት አደጋ መከላከያ ይላኩ በቦሌ መንገድ,Fire Force,amharic,0.75
Demonstration mode active,Other,english,0.94
Domestic violence incident with active assault at Kebele 02,Police,english,0.91
"Riot with multiple offenders, public safety risk at the Gas Station",Police,english,0.9
"Someone is acting strange, might need doctor at Sarbet",Medical/Hospital,english,0.46
"Kidnapping witnessed, suspect fleeing scene at a private residence",Police,english,0.95
Multi-vehicle accident with fire on highway at the shopping mall,Fire Force,english,0.89
ዘራፊ ገብቷል ፖሊስ ያስፈልጋል በቀበሌ 04,Police,amharic,0.81
Not sure if it's a crime but looks wrong at Bus Terminal,Police,english,0.68
Waan bala'aan uumame Kebele 04,Police,afaan_oromo,0.86
"Chemical facility fire, hazardous materials involved at the commercial district",Fire Force,english,0.98
