text,label
Need ambulance at shopping mall - fainting,Medical/Hospital
Emergency! Help! gas leak at the shopping mall!,Fire Force
Reporting burning smell at Kebele 04,Fire Force
Send police to Atlas area - stolen goods in progress,Police
Emergency! overdose at shopping mall,Medical/Hospital
URGENT: breathing difficulty at the Bus Terminal.,Medical/Hospital
Officer required at the Office: riot.,Police
Witnessed stabbing at the Main Road.,Police
Emergency! Witnessed vandalism at Summit.,Police
Police emergency! harassment at Kazanchis,Police
እርዳታ ያስፈልገኛል በCMC Condominium,Medical/Hospital
Emergency medical assistance needed at Kebele 04 for heart attack.,Medical/Hospital
Need firefighters at Piazza for fire in the basement,Fire Force
Emergency! Help! something burning at a back alley!,Fire Force
Emergency! Need police at my Home - shooting.,Police
Emergency! Officer required at CMC Condominium: assault.,Police
Reporting fainting spell at Gerji.,Medical/Hospital
Emergency! fire on the balcony at the University campus.,Fire Force
Balaan gahe Adama Market,Police
"Fight with weapons, people injured at Kebele 04",Police
Emergency! Reporting heavy bleeding at the Bus Terminal.,Medical/Hospital
Need police at CMC Condominium for riot,Police
"Hey No emergency, just is anyone there",Other
Hi wrong number?,Other
Police emergency! group with weapons at the Office.,Police
Send fire truck to shopping mall: massive blaze,Fire Force
Police emergency! domestic dispute at Central Bank,Police
Emergency! Witnessed stolen goods at my Home.,Police
Hi Quick question: testing the app please,Other
"General question, thanks thanks",Other
Emergency! Witnessed mugging at Atlas area.,Police
"Emergency! Please send the fire force to the Park, there is small fire.",Fire Force
Quick question: how are you please,Other
"Fire in apartment, someone trapped at Piazza",Fire Force
Hello Just general question thanks,Other
Fire emergency at Kebele 02 - kitchen fire,Fire Force
Emergency! Reporting allergic reaction at the construction site.,Medical/Hospital
Need police at Kebele 04 for car theft,Police
Need firefighters at Mexico Square for massive blaze,Fire Force
Officer required at Bole Road: armed suspect.,Police
Emergency! Need an ambulance at the local Pharmacy - allergic reaction.,Medical/Hospital
"Hi hello world, thanks",Other
Medical emergency at Kazanchis: burn victim.,Medical/Hospital
General question,Other
Please send police to Gerji for domestic dispute.,Police
Medical emergency at the main Factory: overdose.,Medical/Hospital
Emergency! Help! smoke coming from the roof at the Bus Terminal!,Fire Force
Emergency! fire at Adama General Hospital,Fire Force
Poolisiin na biliisa shopping mall,Medical/Hospital
Emergency! burn victim at Central Bank,Medical/Hospital
"Robbery, victim having heart attack at Piazza",Police
Emergency! Please send paramedics to Kebele 02: poisoning.,Medical/Hospital
Need ambulance at an Apartment building - car accident with injuries,Medical/Hospital
Send police to Central Bank - assault in progress,Police
Send fire truck to Bus Terminal: something burning,Fire Force
Emergency! Officer required at the main Factory: robbery.,Police
I see fire in the basement at the Hospital gate.,Fire Force
Emergency! There is explosion happening at the construction site.,Fire Force
Emergency! Send police immediately to my Home - kidnapping attempt in progress.,Police
URGENT: kitchen fire reported at the Central Bank.,Fire Force
Police emergency! violent fight at Adama Market.,Police
"No emergency, just good morning",Other
"Emergency! Please send the fire force to the Bus Terminal, there is smoke coming from the roof.",Fire Force
Need firefighters at Sarbet for massive blaze,Fire Force
Medical emergency at Piazza: car accident with injuries,Medical/Hospital
Medical emergency at shopping mall: choking,Medical/Hospital
Emergency! burn victim at shopping mall,Medical/Hospital
Please send paramedics to University campus: seizure,Medical/Hospital
Emergency! explosion at Fire Station,Fire Force
Emergency! Witnessed shooting at Adama Market.,Police
Car accident with fire at Bus Terminal,Fire Force
Police emergency! domestic dispute at Summit,Police
Emergency! burning smell at Kazanchis,Fire Force
Send fire truck to High School: smoke coming from the roof,Fire Force
Officer required at Summit: violent fight.,Police
Police emergency! group with weapons at Sarbet,Police
Please send paramedics to High School: collapsed,Medical/Hospital
Hospitaala nan barbaada Fire Station,Fire Force
Hi Checking in - good morning please,Other
Emergency! Officer required at the shopping mall: kidnapping attempt.,Police
URGENT: massive blaze reported at Mexico Square.,Fire Force
Emergency! something burning at the Gas Station.,Fire Force
Send fire truck to Piazza: fire on the balcony,Fire Force
Emergency! Reporting fire in the basement at a back alley.,Fire Force
Send police to Adama Market - stolen goods in progress,Police
Reporting burglary at Kebele 02.,Police
Emergency! Witnessed harassment at the High School.,Police
Hello Checking in - how are you?,Other
Send police to High School - riot in progress,Police
Emergency! I see kitchen fire at the construction site.,Fire Force
"Emergency! Please send the fire force to the Train Station, there is warehouse fire.",Fire Force
Need firefighters at Train Station for warehouse fire,Fire Force
URGENT police response needed: suspicious person at Summit.,Police
Emergency! Please send police to my Home for mugging.,Police
Send fire truck to the Main Road - something burning.,Fire Force
Hello good morning please,Other
URGENT: huge flames reported at the Stadium.,Fire Force
"Emergency! Please send the fire force to the Train Station, there is smoke coming from the roof.",Fire Force
Need an ambulance at the main Factory - seizure.,Medical/Hospital
Emergency! Help! smoke coming from the roof at the Stadium!,Fire Force
Hello Quick question: hi there thanks,Other
Need police at Main Road for thief,Police
"Hello world, thanks",Other
Hello Just time check,Other
Need police at Kebele 04 for shooting,Police
Reporting fainting spell at the High School.,Medical/Hospital
Officer required at High School: robbery,Police
Emergency! Need an ambulance at the Hospital gate - allergic reaction.,Medical/Hospital
Emergency! Officer required at the Bus Terminal: suspicious person.,Police
Need ambulance at Kebele 04 - breathing difficulty,Medical/Hospital
Hey Quick question: just checking,Other
Hey This is system test thanks,Other
"Hello No emergency, just is anyone there?",Other
Please send paramedics to the shopping mall: heart attack.,Medical/Hospital
ሰረቁኝ በUniversity campus,Fire Force
URGENT: small fire reported at the Central Bank.,Fire Force
Emergency! Need police at the Stadium - stolen goods.,Police
Emergency! Need an ambulance at Gerji - stroke.,Medical/Hospital
Quick question: hello world thanks,Other
Medical emergency at the Central Bank: breathing difficulty.,Medical/Hospital
There is kitchen fire happening at the Hospital gate.,Fire Force
Officer required at Kazanchis: vandalism,Police
Fire emergency at Summit - burning smell,Fire Force
Reporting suspicious person at Main Road,Police
Reporting thick smoke at the main Factory.,Fire Force
እርዳታ ያስፈልገኛል በHigh School,Medical/Hospital
Emergency! Officer required at the Gas Station: burglary.,Police
Reporting burning smell at the High School.,Fire Force
Send fire truck to shopping mall: huge flames,Fire Force
URGENT: fire on the balcony reported at Bole Road.,Fire Force
Need police at Gerji - harassment.,Police
Medical emergency at Atlas area: poisoning.,Medical/Hospital
Emergency! Help! fire on the balcony at the Central Bank!,Fire Force
Hi weather report?,Other
Need an ambulance at Gerji - car accident with injuries.,Medical/Hospital
"Gas leak, people unconscious at Kebele 04",Fire Force
Reporting something burning at Kebele 02,Fire Force
Police emergency! kidnapping attempt at a back alley.,Police
Emergency! Witnessed kidnapping attempt at CMC Condominium.,Police
"Hello No emergency, just hi there thanks",Other
Emergency! chemical fire at a back alley.,Fire Force
Need police at Piazza for vandalism,Police
Emergency! Need an ambulance at the Park - unconscious person.,Medical/Hospital
Hey Checking in - hello,Other
Hi Quick question: app feedback?,Other
ሆስፒታል ያስፈልገኛል በSummit,Police
"No emergency, just how are you",Other
Fire emergency at Fire Station - fire,Fire Force
Need firefighters at Kebele 04 for thick smoke,Fire Force
Medical emergency at the Bus Terminal: person not breathing.,Medical/Hospital
"Hello wrong number, thanks please",Other
"Please send the fire force to an Apartment building, there is burning smell.",Fire Force
Need ambulance at construction site - choking,Medical/Hospital
እሳት ወጥቷል በBus Terminal,Police
Emergency! woman in labor at an Apartment building,Medical/Hospital
"Hey No emergency, just wrong number",Other
Emergency! I see massive blaze at Mexico Square.,Fire Force
"Hello, system test",Other
Emergency medical assistance needed at Mexico Square for person not breathing.,Medical/Hospital
Emergency! Officer required at the Main Road: harassment.,Police
"Emergency! Please send the fire force to the Gas Station, there is brush fire.",Fire Force
Officer required at construction site: break-in,Police
Officer required at CMC Condominium: domestic dispute.,Police
Emergency! Send police immediately to Sarbet - armed suspect in progress.,Police
Police emergency! violent fight at Kebele 04,Police
Quick question: general question,Other
"Hello, general question",Other
Officer required at Adama General Hospital: assault,Police
Please send paramedics to Summit: unconscious,Medical/Hospital
Please send paramedics to Piazza: car accident with injuries,Medical/Hospital
Emergency! Send fire truck to the High School - fire on the balcony.,Fire Force
Need firefighters at the Office for something burning,Fire Force
"Hi thank you, thanks",Other
"Kitchen fire, burn victim at the Office",Fire Force
Emergency! gas leak at Adama General Hospital,Fire Force
Emergency! Reporting smoke coming from the roof at the main Factory.,Fire Force
Emergency! Please send police to Piazza for stolen goods.,Police
Emergency! Need police at Mexico Square - thief.,Police
Send fire truck to Gas Station: fire on the balcony,Fire Force
Emergency! gas leak at High School,Fire Force
Emergency! Reporting overdose at the local Pharmacy.,Medical/Hospital
Police emergency! kidnapping attempt at Adama Market,Police
Emergency! Need police at Bole Road - assault.,Police
Emergency! Need an ambulance at Bole Road - burn victim.,Medical/Hospital
Emergency! Someone has seizure at the main Factory.,Medical/Hospital
Emergency! Need an ambulance at my Home - person not breathing.,Medical/Hospital
URGENT police response needed: domestic dispute at the construction site.,Police
URGENT police response needed: violent fight at the Central Bank.,Police
Emergency! There is break-in happening at a back alley.,Police
Emergency! inferno at the shopping mall.,Fire Force
Reporting fire in the basement at Adama Market,Fire Force
Officer required at Summit: stabbing,Police
Send police to Central Bank - stabbing in progress,Police
Please send paramedics to my Home: head injury.,Medical/Hospital
Emergency! Someone has poisoning at the High School.,Medical/Hospital
Need police at the Train Station - kidnapping attempt.,Police
Emergency! There is fire in the basement happening at the construction site.,Fire Force
"No emergency, just weather report please",Other
Emergency! Reporting choking incident at the local Pharmacy.,Medical/Hospital
Emergency! Reporting breathing difficulty at the Park.,Medical/Hospital
Police emergency! armed suspect at the Bus Terminal.,Police
እርዳታ ያስፈልገኛል በSarbet,Medical/Hospital
Send fire truck to Summit: smoke coming from the roof,Fire Force
Medical emergency at a back alley: breathing difficulty.,Medical/Hospital
Fire emergency at Adama General Hospital - electrical sparks,Fire Force
Reporting huge flames at the Gas Station.,Fire Force
Emergency! fainting at Mexico Square,Medical/Hospital
Reporting vandalism at the Hospital gate.,Police
Emergency medical assistance needed at the shopping mall for burn victim.,Medical/Hospital
Need police at Bus Terminal for break-in,Police
Medical emergency! animal bite at Kazanchis.,Medical/Hospital
Emergency! Witnessed drug dealing at the main Factory.,Police
"Robbery, victim having heart attack at construction site",Police
ፖሊስ ይደውሉልኝ በSummit,Police
Emergency! Send fire truck to the Stadium - flames spreading.,Fire Force
Fire emergency at Fire Station - explosion,Fire Force
URGENT police response needed: mugging at Sarbet.,Police
Police emergency! car theft at Summit.,Police
Emergency! Please send police to Sarbet for riot.,Police
Please send police to Kebele 04 for stabbing.,Police
Officer required at an Apartment building: suspicious person.,Police
Emergency! Send police immediately to Atlas area - car theft in progress.,Police
Emergency! massive blaze at the Main Road.,Fire Force
Need ambulance at Kebele 02 - breathing difficulty,Medical/Hospital
"Hello Hello, good morning thanks",Other
Emergency! huge flames at Sarbet.,Fire Force
Emergency! Please send paramedics to a back alley: heart attack.,Medical/Hospital
Reporting drug dealing at Gerji.,Police
Reporting stolen goods at Gerji,Police
"Fire in apartment, someone trapped at shopping mall",Fire Force
URGENT: something burning reported at the construction site.,Fire Force
Send police immediately to the shopping mall - armed suspect in progress.,Police
Emergency! Officer required at Kebele 04: suspicious person.,Police
Fire emergency at Adama Police Station - fire,Fire Force
Emergency! Reporting thick smoke at the High School.,Fire Force
"Hey Hello, hello?",Other
Please send paramedics to Kebele 02: car accident with injuries,Medical/Hospital
Hey Quick question: is anyone there thanks,Other
Reporting electrical sparks at the local Pharmacy.,Fire Force
URGENT: heart attack at the main Factory.,Medical/Hospital
Need an ambulance at my Home - fainting spell.,Medical/Hospital
Medical emergency! poisoning at the Hospital gate.,Medical/Hospital
Hi there,Other
Emergency! There is break-in happening at Mexico Square.,Police
Emergency! Need firefighters at the University campus for huge flames.,Fire Force
Police emergency! car theft at Sarbet,Police
Send fire truck to University campus: transformer fire,Fire Force
Hey hi there please,Other
Emergency! Send fire truck to the Gas Station - chemical fire.,Fire Force
Emergency! Please send paramedics to the Bus Terminal: seizure.,Medical/Hospital
Police emergency! burglary at Main Road,Police
Thank you,Other
Emergency! There is drug dealing happening at the shopping mall.,Police
Person with fainting at Kazanchis,Medical/Hospital
Medical emergency at Main Road: head injury,Medical/Hospital
Reporting thick smoke at Adama Police Station,Fire Force
This is how are you,Other
Emergency! transformer fire at the Bus Terminal.,Fire Force
Emergency! I see thick smoke at the Gas Station.,Fire Force
Emergency! Reporting riot at the Bus Terminal.,Police
"Hello, weather report",Other
Emergency! Reporting drug dealing at the Park.,Police
Emergency! Send fire truck to Atlas area - explosion.,Fire Force
Reporting suspicious person at Bole Road.,Police
Emergency! explosion at shopping mall,Fire Force
Police emergency! robbery at Gerji,Police
Please send paramedics to the High School: collapsed person.,Medical/Hospital
"Hey No emergency, just hello please",Other
Emergency! Someone has car accident with injuries at the shopping mall.,Medical/Hospital
Poolisiin na biliisa Piazza,Police
Emergency! Need firefighters at Summit for massive blaze.,Fire Force
URGENT: explosion reported at Adama Market.,Fire Force
Reporting stabbing at Main Road,Police
Emergency! Send police immediately to Summit - break-in in progress.,Police
Need police at Mexico Square for mugging,Police
Send fire truck to Kazanchis: thick smoke,Fire Force
Emergency! There is robbery happening at the Office.,Police
Hi Quick question: good morning please,Other
Send police to shopping mall - group with weapons in progress,Police
Medical emergency at Kazanchis: unconscious,Medical/Hospital
Send fire truck to Fire Station: chemical fire,Fire Force
Emergency! breathing difficulty at Fire Station,Medical/Hospital
Just testing the app please,Other
Medical emergency at Bole Road: heart attack.,Medical/Hospital
ልቤ ይታመማል በCentral Bank,Police
Send fire truck to Piazza: fire in the basement,Fire Force
Officer required at Adama Market: suspicious person,Police
Hospitaala nan barbaada High School,Police
"Hey Hello, how to use this",Other
Medical emergency at shopping mall: car accident with injuries,Medical/Hospital
Fire emergency at Piazza - fire in the basement,Fire Force
Emergency! Officer required at Summit: harassment.,Police
Medical emergency at CMC Condominium: broken leg.,Medical/Hospital
"Hello No emergency, just how to use this please",Other
Person with heart attack at Adama Market,Medical/Hospital
Please send police to an Apartment building for shooting.,Police
Hey This is time check?,Other
Medical emergency at Kebele 02: unconscious person.,Medical/Hospital
Send fire truck to Adama Market - smoke coming from the roof.,Fire Force
Please send paramedics to construction site: broken leg,Medical/Hospital
I see transformer fire at Piazza.,Fire Force
Emergency! Need an ambulance at Piazza - car accident with injuries.,Medical/Hospital
Help! massive blaze at the Hospital gate!,Fire Force
Emergency! Officer required at an Apartment building: car theft.,Police
Reporting explosion at Mexico Square,Fire Force
"How are you, thanks",Other
Please send paramedics to the Office: heart attack,Medical/Hospital
Emergency! allergic reaction at Summit,Medical/Hospital
Please send police to Gerji for break-in.,Police
"System test, thanks",Other
Need firefighters at construction site for massive blaze,Fire Force
Emergency! Send police immediately to Piazza - violent fight in progress.,Police
Need ambulance at High School - broken leg,Medical/Hospital
Fire emergency at Bus Terminal - burning smell,Fire Force
Police emergency! burglary at Adama Market,Police
Emergency! Someone has burn victim at a back alley.,Medical/Hospital
Fire emergency at Gerji - thick smoke,Fire Force
Need police at Atlas area for group with weapons,Police
URGENT police response needed: riot at Adama Market.,Police
Medical emergency! head injury at Kebele 02.,Medical/Hospital
Police emergency! stolen goods at Train Station,Police
Emergency! explosion at University campus,Fire Force
Medical emergency at Sarbet: broken leg,Medical/Hospital
URGENT police response needed: domestic dispute at Kazanchis.,Police
Need firefighters at Kebele 04 for brush fire,Fire Force
Emergency! thick smoke at Kebele 02.,Fire Force
Emergency! Reporting transformer fire at the Bus Terminal.,Fire Force
Please send paramedics to University campus: heart attack,Medical/Hospital
URGENT police response needed: kidnapping attempt at CMC Condominium.,Police
Medical emergency at Piazza: woman in labor,Medical/Hospital
Officer required at Main Road: suspicious person,Police
Reporting fire at shopping mall,Fire Force
Hello Checking in - is anyone there?,Other
Emergency! There is kitchen fire happening at the Park.,Fire Force
Reporting fire in the basement at the main Factory.,Fire Force
Need police at an Apartment building for burglary,Police
Emergency! Reporting thief at Atlas area.,Police
Lapheen ni dhukkuba Summit,Fire Force
"Emergency! Please send the fire force to the Main Road, there is gas leak.",Fire Force
Emergency! There is a person with seizure at Bole Road.,Medical/Hospital
Send police to Central Bank - break-in in progress,Police
Need firefighters at Piazza for chemical fire,Fire Force
"Hi how to use this, thanks?",Other
Emergency! Need an ambulance at the Central Bank - person who fell.,Medical/Hospital
Medical emergency at Mexico Square: person not breathing.,Medical/Hospital
Reporting flames spreading at Train Station,Fire Force
Witnessed robbery at the Bus Terminal.,Police
Someone has fainting spell at the Office.,Medical/Hospital
Send police to Gerji - stolen goods in progress,Police
Emergency medical assistance needed at Kazanchis for broken leg.,Medical/Hospital
Police emergency! assault at Bole Road.,Police
Hello weather report?,Other
Need firefighters at Mexico Square for fire,Fire Force
Medical emergency at Sarbet: collapsed person.,Medical/Hospital
"Hello general question, thanks thanks",Other
"Emergency! Please send the fire force to the Train Station, there is fire in the basement.",Fire Force
Hello Just just checking?,Other
Medical emergency at Atlas area: several injured people.,Medical/Hospital
"Hey No emergency, just general question thanks",Other
Hi hi there?,Other
Hi This is thank you thanks,Other
Police emergency! assault at the High School.,Police
Need police at Kazanchis for mugging,Police
Police emergency! mugging at the shopping mall.,Police
Emergency! Please send police to Kebele 04 for domestic dispute.,Police
Send fire truck to Sarbet: gas leak,Fire Force
Emergency! Someone has unconscious person at Kebele 02.,Medical/Hospital
Hi Checking in - thank you thanks,Other
Emergency! Need an ambulance at the main Factory - choking incident.,Medical/Hospital
Medical emergency! heavy bleeding at the local Pharmacy.,Medical/Hospital
"Hello just checking, thanks thanks",Other
Need firefighters at Bus Terminal for electrical sparks,Fire Force
Emergency! Send fire truck to the Office - brush fire.,Fire Force
Hello is anyone there?,Other
Police emergency! harassment at Piazza.,Police
There is assault happening at Sarbet.,Police
Need firefighters at Bus Terminal for brush fire,Fire Force
Emergency! breathing difficulty at Central Bank,Medical/Hospital
"Hello No emergency, just hello thanks",Other
Hi Just testing the app please,Other
እርዳታ ያስፈልገኛል በTrain Station,Police
Reporting chemical fire at the University campus.,Fire Force
Need ambulance at Kazanchis - seizure,Medical/Hospital
Emergency! There is smoke coming from the roof happening at the Stadium.,Fire Force
Checking in - system test,Other
Need police at Mexico Square for shooting,Police
ልቤ ይታመማል በMexico Square,Medical/Hospital
Officer required at Summit: stolen goods,Police
Reporting riot at Mexico Square,Police
"Kitchen fire, burn victim at University campus",Fire Force
Reporting animal bite at my Home.,Medical/Hospital
Emergency! Reporting riot at CMC Condominium.,Police
Need ambulance at Kebele 02 - burn victim,Medical/Hospital
URGENT police response needed: violent fight at Adama Market.,Police
Emergency! Officer required at Kebele 04: stabbing.,Police
URGENT: heavy bleeding at the Central Bank.,Medical/Hospital
Police emergency! thief at an Apartment building.,Police
"How to use this, thanks",Other
Please send paramedics to Adama Market: car accident with injuries,Medical/Hospital
Fire emergency at Adama General Hospital - fire,Fire Force
"Please send the fire force to the Central Bank, there is thick smoke.",Fire Force
"Hi, good morning",Other
"Hey Hi, how to use this",Other
Reporting robbery at Piazza,Police
አደጋ ደረሰ በAdama General Hospital,Police
Emergency! Need an ambulance at an Apartment building - several injured people.,Medical/Hospital
Emergency! Send fire truck to Gerji - chemical fire.,Fire Force
Emergency! Please send paramedics to Summit: poisoning.,Medical/Hospital
"No emergency, just hello?",Other
Medical emergency at Main Road: stroke,Medical/Hospital
Is anyone there,Other
Send police to Kebele 02 - violent fight in progress,Police
Need police at Piazza for kidnapping attempt,Police
Hi how to use this please,Other
Officer required at Summit: domestic dispute,Police
URGENT: burn victim at an Apartment building.,Medical/Hospital
Emergency! fire on the balcony at Fire Station,Fire Force
There is a person with head injury at the High School.,Medical/Hospital
Police emergency! stolen goods at Bole Road.,Police
Hello This is how to use this please,Other
Medical emergency! poisoning at the University campus.,Medical/Hospital
Need ambulance at Bus Terminal - heart attack,Medical/Hospital
Emergency! huge flames at the construction site.,Fire Force
Reporting harassment at Central Bank,Police
Police emergency! kidnapping attempt at Bole Road.,Police
Emergency! Please send police to Kazanchis for drug dealing.,Police
Need firefighters at Mexico Square for transformer fire,Fire Force
Checking in - hello,Other
Please send police to Adama Market for mugging.,Police
Medical emergency at the Gas Station: fainting spell.,Medical/Hospital
Emergency! Someone has allergic reaction at Adama Market.,Medical/Hospital
እርዳታ ያስፈልገኛል በKazanchis,Police
Emergency! broken leg at Adama General Hospital,Medical/Hospital
Emergency! Someone has several injured people at Adama Market.,Medical/Hospital
Emergency! I see thick smoke at CMC Condominium.,Fire Force
Emergency! Send fire truck to an Apartment building - smoke coming from the roof.,Fire Force
Reporting smoke coming from the roof at Train Station,Fire Force
Emergency! Send police immediately to Mexico Square - car theft in progress.,Police
Lapheen ni dhukkuba Bus Terminal,Police
"Hello Hello, is anyone there thanks",Other
"Emergency! Please send the fire force to the Bus Terminal, there is fire on the balcony.",Fire Force
Person with poisoning at Kebele 02,Medical/Hospital
Emergency! Send fire truck to the Bus Terminal - explosion.,Fire Force
"Fire in apartment, someone trapped at Central Bank",Fire Force
Emergency! There is warehouse fire happening at Piazza.,Fire Force
Hey Quick question: testing the app please,Other
Emergency! Reporting mugging at Summit.,Police
Need firefighters at Adama Police Station for smoke coming from the roof,Fire Force
Medical emergency at Adama Police Station: woman in labor,Medical/Hospital
